ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000791.SZ,20120104,5.12,5.2,4.95,4.98,5.08,-0.1,-1.97,8992.88,4557.688
000791.SZ,20120105,4.8,4.93,4.71,4.72,4.98,-0.26,-5.22,11471.2,5512.5272
000791.SZ,20120106,4.68,5.19,4.68,5.19,4.72,0.47,9.96,35654.59,17746.4329
000791.SZ,20120109,5.41,5.71,5.35,5.71,5.19,0.52,10.02,50108.31,28218.0456
000791.SZ,20120110,6.28,6.28,6.28,6.28,5.71,0.57,9.98,9740.77,6117.2036
000791.SZ,20120111,6.91,6.91,6.91,6.91,6.28,0.63,10.03,59891.32,41384.9021
000791.SZ,20120112,7.2,7.59,7.15,7.38,6.91,0.47,6.8,306843.05,224480.8646
000791.SZ,20120113,7.21,7.35,7.05,7.08,7.38,-0.3,-4.07,173289.05,124686.0886
000791.SZ,20120116,6.86,6.95,6.58,6.7,7.08,-0.38,-5.37,146993.62,99010.3252
000791.SZ,20120117,6.68,7.02,6.51,6.92,6.7,0.22,3.28,186644.85,126895.304
000791.SZ,20120118,6.78,7.19,6.6,7.02,6.92,0.1,1.45,222368.5,153679.2501
000791.SZ,20120119,6.8,6.97,6.61,6.84,7.02,-0.18,-2.56,119289.66,81079.5828
000791.SZ,20120120,6.84,6.85,6.48,6.62,6.84,-0.22,-3.22,115237.24,76671.8249
000791.SZ,20120130,6.6,7.14,6.51,6.86,6.62,0.24,3.63,163373.46,112045.3145
000791.SZ,20120131,6.77,6.78,6.54,6.74,6.86,-0.12,-1.75,80508.43,53712.1566
000791.SZ,20120201,6.67,6.82,6.53,6.65,6.74,-0.09,-1.34,69073.07,46138.2586
000791.SZ,20120202,6.65,7.05,6.6,6.81,6.65,0.16,2.41,108234.89,73829.3179
000791.SZ,20120203,6.82,7.31,6.73,7.08,6.81,0.27,3.96,156123.6,110467.7609
000791.SZ,20120206,7.05,7.3,6.88,7.29,7.08,0.21,2.97,120983.3,85478.3263
000791.SZ,20120207,7.19,7.19,6.96,7.03,7.29,-0.26,-3.57,76518.69,53939.9607
000791.SZ,20120208,6.96,7.38,6.95,7.23,7.03,0.2,2.85,125401.93,90253.1431
000791.SZ,20120209,7.2,7.9,7.1,7.39,7.23,0.16,2.21,176056.19,131760.5862
000791.SZ,20120210,7.3,7.43,7.15,7.24,7.39,-0.15,-2.03,109365.01,79304.3415
000791.SZ,20120213,7.13,7.45,7.08,7.3,7.24,0.06,0.83,86011.33,62968.0056
000791.SZ,20120214,7.4,7.4,7.1,7.19,7.3,-0.11,-1.51,70678.27,50984.3957
000791.SZ,20120215,7.16,7.38,7.07,7.27,7.19,0.08,1.11,76959.89,55582.3843
000791.SZ,20120216,7.26,7.28,7.02,7.12,7.27,-0.15,-2.06,64496.15,45941.0731
000791.SZ,20120217,7.1,7.15,6.75,6.94,7.12,-0.18,-2.53,65276.92,45287.6534
000791.SZ,20120220,6.99,7.63,6.93,7.63,6.94,0.69,9.94,180450.03,134221.8205
000791.SZ,20120221,7.77,8.39,7.71,8.25,7.63,0.62,8.13,346742.32,280709.9793
000791.SZ,20120222,8.05,8.19,7.95,8.19,8.25,-0.06,-0.73,200410.87,161546.5912
000791.SZ,20120223,8.07,8.12,7.93,8.04,8.19,-0.15,-1.83,124486.39,99944.1826
000791.SZ,20120224,8.04,8.44,7.9,8.05,8.04,0.01,0.12,165000.53,135308.1738
000791.SZ,20120227,7.93,8.12,7.88,7.96,8.05,-0.09,-1.12,105345.89,84076.7252
000791.SZ,20120228,8.0,8.06,7.63,7.81,7.96,-0.15,-1.88,77033.95,60579.8548
000791.SZ,20120229,7.81,8.0,7.73,7.97,7.81,0.16,2.05,60800.38,48296.4932
000791.SZ,20120301,7.9,8.15,7.9,7.97,7.97,0.0,0.0,50855.39,40821.0863
000791.SZ,20120302,7.91,8.03,7.86,8.03,7.97,0.06,0.75,54933.89,43794.156
000791.SZ,20120305,8.06,8.12,7.94,7.95,8.03,-0.08,-1.0,48321.78,38687.6923
000791.SZ,20120306,7.99,8.75,7.98,8.5,7.95,0.55,6.92,179352.41,150967.6986
000791.SZ,20120307,8.28,8.41,8.0,8.2,8.5,-0.3,-3.53,59871.35,49285.7488
000791.SZ,20120308,8.21,8.35,8.15,8.23,8.2,0.03,0.37,43217.42,35509.8932
000791.SZ,20120309,8.27,8.32,8.16,8.21,8.23,-0.02,-0.24,64923.31,53488.8529
000791.SZ,20120313,8.25,8.47,8.05,8.15,8.21,-0.06,-0.73,82626.43,67699.2963
000791.SZ,20120314,8.15,8.29,7.51,7.58,8.15,-0.57,-6.99,94821.88,75578.6759
000791.SZ,20120315,7.52,7.7,6.91,7.38,7.58,-0.2,-2.64,64259.09,47103.3294
000791.SZ,20120316,7.41,7.68,7.22,7.66,7.38,0.28,3.79,53274.03,39864.106
000791.SZ,20120319,7.64,7.69,7.45,7.61,7.66,-0.05,-0.65,38144.8,28841.2291
000791.SZ,20120320,7.6,7.68,7.36,7.38,7.61,-0.23,-3.02,33537.09,25093.7782
000791.SZ,20120321,7.39,7.45,7.21,7.39,7.38,0.01,0.14,25936.81,19010.727
000791.SZ,20120322,7.39,7.39,7.23,7.25,7.39,-0.14,-1.89,20969.53,15295.4269
000791.SZ,20120323,7.22,7.22,6.99,7.12,7.25,-0.13,-1.79,32418.91,22973.9288
