ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600545.SH,20120104,5.46,5.55,5.15,5.18,5.37,-0.19,-3.54,27086.56,14453.652
600545.SH,20120105,5.11,5.26,5.09,5.1,5.18,-0.08,-1.54,23234.62,11957.432
600545.SH,20120106,5.08,5.11,4.94,5.1,5.1,0.0,0.0,20972.17,10525.835
600545.SH,20120109,5.08,5.32,5.07,5.29,5.1,0.19,3.73,34612.3,18041.336
600545.SH,20120110,5.44,5.82,5.42,5.82,5.29,0.53,10.02,81805.36,46950.611
600545.SH,20120111,6.05,6.05,5.82,5.85,5.82,0.03,0.52,159659.3,94551.057
600545.SH,20120112,5.75,5.88,5.64,5.77,5.85,-0.08,-1.37,76316.63,44003.264
600545.SH,20120116,5.48,5.61,5.42,5.42,5.77,-0.35,-6.07,56626.91,31162.65
600545.SH,20120117,5.39,5.77,5.39,5.75,5.42,0.33,6.09,58772.42,33012.712
600545.SH,20120118,5.77,5.96,5.66,5.72,5.75,-0.03,-0.52,80197.89,46689.431
600545.SH,20120119,5.68,5.78,5.58,5.7,5.72,-0.02,-0.35,43348.72,24651.207
600545.SH,20120120,5.73,5.83,5.7,5.76,5.7,0.06,1.05,41857.57,24191.457
600545.SH,20120130,5.79,5.82,5.62,5.64,5.76,-0.12,-2.08,30965.1,17627.602
600545.SH,20120131,5.64,5.71,5.58,5.71,5.64,0.07,1.24,15659.94,8828.916
600545.SH,20120201,5.68,5.76,5.61,5.62,5.71,-0.09,-1.58,20295.13,11501.336
600545.SH,20120202,5.6,5.79,5.58,5.75,5.62,0.13,2.31,37251.24,21149.131
600545.SH,20120203,5.75,5.95,5.68,5.88,5.75,0.13,2.26,68806.12,40295.517
600545.SH,20120206,5.86,5.89,5.75,5.83,5.88,-0.05,-0.85,48131.12,28013.796
600545.SH,20120207,5.8,5.8,5.65,5.69,5.83,-0.14,-2.4,34779.36,19819.666
600545.SH,20120208,5.72,5.9,5.69,5.88,5.69,0.19,3.34,50126.68,29121.69
600545.SH,20120209,5.88,6.23,5.81,6.0,5.88,0.12,2.04,126129.94,76403.527
600545.SH,20120210,6.0,6.27,5.98,6.06,6.0,0.06,1.0,112738.76,69138.722
600545.SH,20120213,5.93,6.03,5.79,5.99,6.06,-0.07,-1.16,82434.23,48706.187
600545.SH,20120214,5.96,6.15,5.9,6.08,5.99,0.09,1.5,72258.84,43537.855
600545.SH,20120215,6.08,6.25,5.98,6.19,6.08,0.11,1.81,99710.07,61027.545
600545.SH,20120216,6.13,6.35,6.11,6.34,6.19,0.15,2.42,118960.04,74206.565
600545.SH,20120217,6.34,6.44,6.2,6.27,6.34,-0.07,-1.1,81678.1,51630.207
600545.SH,20120220,6.35,6.7,6.3,6.66,6.27,0.39,6.22,181396.04,117828.383
600545.SH,20120221,6.66,6.9,6.55,6.74,6.66,0.08,1.2,253990.32,170688.775
600545.SH,20120222,6.65,6.74,6.56,6.73,6.74,-0.01,-0.15,150520.92,100139.247
